Date,Cost
2025-01-01,496.5
2025-01-01,97.96
2025-01-01,1054.12
2025-01-01,699.33
2025-01-01,127.27
2025-01-01,802.96
2025-01-01,198.15
2025-01-01,1480.89
2025-01-02,43.44
2025-01-02,513.47
2025-01-02,106.82
2025-01-02,1060.73
2025-01-02,696.23
2025-01-02,130.6
2025-01-02,823.37
2025-01-02,205.79
2025-01-02,1548.23
2025-01-03,2649.11
2025-01-03,2475.99
2025-01-03,1440.55
2025-01-03,428.64
2025-01-03,818.51
2025-01-03,1.2
2025-01-03,671.06
2025-01-03,24.2
2025-01-03,124.14
2025-01-03,0
2025-01-03,821.1
2025-01-03,260.45
2025-01-03,2001.73
2025-01-04,2613.16
2025-01-04,3212.62
2025-01-04,1443.52
2025-01-04,687.16
2025-01-04,834.95
2025-01-04,499.68
2025-01-04,670.32
2025-01-04,1145.83
2025-01-04,281.78
2025-01-04,2096.92
2025-01-05,2739.93
2025-01-05,2906.14
2025-01-05,766.88
2025-01-05,0.1
2025-01-05,1410.75
2025-01-05,693.39
2025-01-05,822.27
2025-01-05,501.34
2025-01-05,670.22
2025-01-05,247.39
2025-01-05,264.13
2025-01-05,2560.52
2025-01-06,4909.34
2025-01-06,2938.88
2025-01-06,3369.65
2025-01-06,1493.21
2025-01-06,1447.35
2025-01-06,693.02
2025-01-06,835.4
2025-01-06,499.81
2025-01-06,669.12
2025-01-06,1975.19
2025-01-06,1368.04
2025-01-06,220.02
2025-01-06,2638.94
2025-01-06,279.24
2025-01-06,2773.59
2025-01-07,2976.78
2025-01-07,2896.32
2025-01-07,2194.05
2025-01-07,267.91
2025-01-07,1450.9
2025-01-07,700.05
2025-01-07,833.68
2025-01-07,499.5
2025-01-07,669.69
2025-01-07,1223.37
2025-01-07,832.7
2025-01-07,138.12
2025-01-07,1479.45
2025-01-07,215.23
2025-01-07,2738.51
2025-01-08,2955.54
2025-01-08,2055.52
2025-01-08,2027.54
2025-01-08,1977.09
2025-01-08,1450.74
2025-01-08,699.93
2025-01-08,847.99
2025-01-08,499.39
2025-01-08,670.37
2025-01-08,1159.07
2025-01-08,820.54
2025-01-08,134.57
2025-01-08,1252.86
2025-01-08,179.72
2025-01-08,2687.23
2025-01-09,2931.37
2025-01-09,1270.96
2025-01-09,2601.13
2025-01-09,594.56
2025-01-09,1448.82
2025-01-09,697.97
2025-01-09,1060.92
2025-01-09,499.49
2025-01-09,670.26
2025-01-09,1075.71
2025-01-09,1.32
2025-01-09,12.72
2025-01-09,1176
2025-01-09,410.57
2025-01-09,3453.16
2025-01-10,2778.26
2025-01-10,1321.44
2025-01-10,2815.12
2025-01-10,110.93
2025-01-10,1450.99
2025-01-10,700.38
2025-01-10,1099.52
2025-01-10,499.87
2025-01-10,670.65
2025-01-10,2141.44
2025-01-10,223.14
2025-01-10,3649.17
2025-01-11,2184.64
2025-01-11,1330.83
2025-01-11,1461.03
2025-01-11,238.69
2025-01-11,1451.05
2025-01-11,700.38
2025-01-11,1097.76
2025-01-11,499.08
2025-01-11,670.88
2025-01-11,2781.6
2025-01-11,111.38
2025-01-11,1855.38
2025-01-12,2706.9
2025-01-12,1307.46
2025-01-12,906.69
2025-01-12,60.51
2025-01-12,1442.37
2025-01-12,685.72
2025-01-12,1083.96
2025-01-12,499.42
2025-01-12,670.8
2025-01-12,2421.41
2025-01-12,430.09
2025-01-12,1959.15
2025-01-13,2851.94
2025-01-13,1352.25
2025-01-13,4422.08
2025-01-13,984.53
2025-01-13,1451.63
2025-01-13,701.04
2025-01-13,1144.23
2025-01-13,499.41
2025-01-13,671.83
2025-01-13,3056.34
2025-01-13,310.87
2025-01-13,4421.18
2025-01-14,2558.74
2025-01-14,1333.51
2025-01-14,3378.25
2025-01-14,57.84
2025-01-14,1451.31
2025-01-14,701.06
2025-01-14,1078.72
2025-01-14,499.36
2025-01-14,670.73
2025-01-14,3159.53
2025-01-14,307.96
2025-01-14,4591
2025-01-15,2533.57
2025-01-15,1351.21
2025-01-15,3546.56
2025-01-15,105.59
2025-01-15,1452.24
2025-01-15,701.29
2025-01-15,1053.68
2025-01-15,499.32
2025-01-15,670.31
2025-01-15,3193.64
2025-01-15,306.28
2025-01-15,25.76
2025-01-15,5042.28
2025-01-16,2553.32
2025-01-16,1314.16
2025-01-16,1380.62
2025-01-16,151.29
2025-01-16,1451.34
2025-01-16,700.96
2025-01-16,1113.89
2025-01-16,500.1
2025-01-16,670.26
2025-01-16,3093.62
2025-01-16,342.1
2025-01-16,217.64
2025-01-16,5094.24
2025-01-17,2470.41
2025-01-17,1288.62
2025-01-17,452.71
2025-01-17,64.38
2025-01-17,1439.86
2025-01-17,687.17
2025-01-17,1078.22
2025-01-17,499.28
2025-01-17,670.62
2025-01-17,2876.84
2025-01-17,203.88
2025-01-17,57.82
2025-01-17,2042.55
2025-01-17,4248.3
2025-01-17,27.51
2025-01-18,2461.54
2025-01-18,1325.31
2025-01-18,74.11
2025-01-18,12.74
2025-01-18,1452.54
2025-01-18,702.47
2025-01-18,1044.44
2025-01-18,499.02
2025-01-18,670.59
2025-01-18,2699.07
2025-01-18,14.77
2025-01-18,23.6
2025-01-18,37.96
2025-01-18,7502.56
2025-01-18,49.84
2025-01-19,2404.33
2025-01-19,1321.02
2025-01-19,14.53
2025-01-19,6.14
2025-01-19,1452.63
2025-01-19,702.3
2025-01-19,1060.18
2025-01-19,499.74
2025-01-19,671.11
