ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;PORTA A PORTA;5544,71;2099,76;8921,13
2026-04-02;PORTA A PORTA;5232,33;2101,42;8584,58
2026-04-03;PORTA A PORTA;1026,00;0,00;2107,27
2026-04-04;PORTA A PORTA;914,00;0,00;4078,96
2026-04-05;PORTA A PORTA;1026,00;0,00;2525,13
2026-04-06;PORTA A PORTA;6269,99;2937,57;9782,10
2026-04-07;PORTA A PORTA;5718,67;2245,19;8998,68
2026-04-08;PORTA A PORTA;5965,65;2734,48;9131,70
2026-04-09;PORTA A PORTA;6003,25;2617,97;9418,27
2026-04-10;PORTA A PORTA;5873,77;2473,04;9232,04
2026-04-11;PORTA A PORTA;2005,53;0,00;5511,44
2026-04-12;PORTA A PORTA;1026,00;0,00;3831,51
2026-04-13;PORTA A PORTA;7372,97;3821,66;10914,21
2026-04-14;PORTA A PORTA;6596,24;3175,87;9804,48
2026-04-15;PORTA A PORTA;6544,70;3076,57;10026,86
2026-04-16;PORTA A PORTA;6259,22;3141,72;9812,67
2026-04-17;PORTA A PORTA;5832,64;2695,16;9222,51
2026-04-18;PORTA A PORTA;1737,52;0,00;5071,20
2026-04-19;PORTA A PORTA;1026,00;0,00;3246,64
2026-04-20;PORTA A PORTA;6966,46;3703,05;10281,15
2026-04-21;PORTA A PORTA;1026,00;0,00;2201,15
2026-04-22;PORTA A PORTA;6404,28;3054,42;9694,52
2026-04-23;PORTA A PORTA;6331,94;3013,08;9902,66
2026-04-24;PORTA A PORTA;6112,67;2646,29;9420,28
2026-04-25;PORTA A PORTA;2174,63;0,00;5668,42
2026-04-26;PORTA A PORTA;1026,00;0,00;4081,47
2026-04-27;PORTA A PORTA;7443,15;4166,99;10729,03
2026-04-28;PORTA A PORTA;7418,87;4194,23;10913,66
2026-04-29;PORTA A PORTA;8492,44;4996,11;11867,98
2026-04-30;PORTA A PORTA;9094,65;5766,36;12434,40
2026-04-01;APP do Filiado;813,64;0,00;2162,96
2026-04-02;APP do Filiado;761,79;0,00;2136,09
2026-04-03;APP do Filiado;506,84;0,00;1781,30
2026-04-04;APP do Filiado;293,71;0,00;1634,25
2026-04-05;APP do Filiado;216,00;0,00;1444,29
2026-04-06;APP do Filiado;812,80;0,00;2097,83
2026-04-07;APP do Filiado;740,80;0,00;1988,18
2026-04-08;APP do Filiado;805,67;0,00;2149,56
2026-04-09;APP do Filiado;827,56;0,00;2119,76
2026-04-10;APP do Filiado;818,04;0,00;2131,86
2026-04-11;APP do Filiado;454,89;0,00;1798,03
2026-04-12;APP do Filiado;265,95;0,00;1656,52
2026-04-13;APP do Filiado;960,70;0,00;2261,81
2026-04-14;APP do Filiado;842,60;0,00;2182,24
2026-04-15;APP do Filiado;844,20;0,00;2131,69
2026-04-16;APP do Filiado;795,99;0,00;2087,11
2026-04-17;APP do Filiado;720,77;0,00;2060,65
2026-04-18;APP do Filiado;306,52;0,00;1570,66
2026-04-19;APP do Filiado;216,00;0,00;1397,95
2026-04-20;APP do Filiado;780,04;0,00;2013,72
2026-04-21;APP do Filiado;416,67;0,00;1886,54
2026-04-22;APP do Filiado;726,50;0,00;2096,01
2026-04-23;APP do Filiado;731,02;0,00;1981,31
2026-04-24;APP do Filiado;709,60;0,00;2046,49
2026-04-25;APP do Filiado;339,82;0,00;1756,17
2026-04-26;APP do Filiado;216,00;0,00;1563,72
2026-04-27;APP do Filiado;842,97;0,00;2162,49
2026-04-28;APP do Filiado;1029,49;0,00;2348,48
2026-04-29;APP do Filiado;1397,00;30,16;2669,90
2026-04-30;APP do Filiado;993,43;0,00;2387,48
2026-04-01;LINK DO VENDEDOR;593,20;13,54;1209,24
2026-04-02;LINK DO VENDEDOR;541,22;0,00;1189,68
2026-04-03;LINK DO VENDEDOR;122,00;0,00;214,91
2026-04-04;LINK DO VENDEDOR;95,00;0,00;671,02
2026-04-05;LINK DO VENDEDOR;122,00;0,00;455,15
