ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;APP DO VENDEDOR;223,83;0,00;721,98
2026-04-02;APP DO VENDEDOR;212,16;0,00;717,91
2026-04-03;APP DO VENDEDOR;99,00;0,00;-66,11
2026-04-04;APP DO VENDEDOR;69,00;0,00;355,99
2026-04-05;APP DO VENDEDOR;99,00;0,00;165,43
2026-04-06;APP DO VENDEDOR;265,87;0,00;755,53
2026-04-07;APP DO VENDEDOR;249,73;0,00;802,35
2026-04-08;APP DO VENDEDOR;289,54;0,00;798,43
2026-04-09;APP DO VENDEDOR;313,31;0,00;783,62
2026-04-10;APP DO VENDEDOR;291,08;0,00;756,10
2026-04-11;APP DO VENDEDOR;69,00;0,00;486,81
2026-04-12;APP DO VENDEDOR;99,00;0,00;311,39
2026-04-13;APP DO VENDEDOR;386,83;0,00;882,61
2026-04-14;APP DO VENDEDOR;344,08;0,00;858,87
2026-04-15;APP DO VENDEDOR;350,47;0,00;842,74
2026-04-16;APP DO VENDEDOR;338,87;0,00;816,24
2026-04-17;APP DO VENDEDOR;284,15;0,00;754,83
2026-04-18;APP DO VENDEDOR;69,00;0,00;428,50
2026-04-19;APP DO VENDEDOR;99,00;0,00;242,81
2026-04-20;APP DO VENDEDOR;332,70;0,00;814,07
2026-04-21;APP DO VENDEDOR;99,00;0,00;-35,89
2026-04-22;APP DO VENDEDOR;310,84;0,00;816,08
2026-04-23;APP DO VENDEDOR;313,11;0,00;790,40
2026-04-24;APP DO VENDEDOR;271,38;0,00;784,56
2026-04-25;APP DO VENDEDOR;69,00;0,00;416,35
2026-04-26;APP DO VENDEDOR;99,00;0,00;261,76
2026-04-27;APP DO VENDEDOR;322,45;0,00;809,27
2026-04-28;APP DO VENDEDOR;383,56;0,00;891,37
2026-04-29;APP DO VENDEDOR;534,27;28,62;1033,00
2026-04-30;APP DO VENDEDOR;546,90;85,83;1033,17
