ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;APP do Filiado;813,64;0,00;2162,96
2026-04-02;APP do Filiado;761,79;0,00;2136,09
2026-04-03;APP do Filiado;506,84;0,00;1781,30
2026-04-04;APP do Filiado;293,71;0,00;1634,25
2026-04-05;APP do Filiado;216,00;0,00;1444,29
2026-04-06;APP do Filiado;812,80;0,00;2097,83
2026-04-07;APP do Filiado;740,80;0,00;1988,18
2026-04-08;APP do Filiado;805,67;0,00;2149,56
2026-04-09;APP do Filiado;827,56;0,00;2119,76
2026-04-10;APP do Filiado;818,04;0,00;2131,86
2026-04-11;APP do Filiado;454,89;0,00;1798,03
2026-04-12;APP do Filiado;265,95;0,00;1656,52
2026-04-13;APP do Filiado;960,70;0,00;2261,81
2026-04-14;APP do Filiado;842,60;0,00;2182,24
2026-04-15;APP do Filiado;844,20;0,00;2131,69
2026-04-16;APP do Filiado;795,99;0,00;2087,11
2026-04-17;APP do Filiado;720,77;0,00;2060,65
2026-04-18;APP do Filiado;306,52;0,00;1570,66
2026-04-19;APP do Filiado;216,00;0,00;1397,95
2026-04-20;APP do Filiado;780,04;0,00;2013,72
2026-04-21;APP do Filiado;416,67;0,00;1886,54
2026-04-22;APP do Filiado;726,50;0,00;2096,01
2026-04-23;APP do Filiado;731,02;0,00;1981,31
2026-04-24;APP do Filiado;709,60;0,00;2046,49
2026-04-25;APP do Filiado;339,82;0,00;1756,17
2026-04-26;APP do Filiado;216,00;0,00;1563,72
2026-04-27;APP do Filiado;842,97;0,00;2162,49
2026-04-28;APP do Filiado;1029,49;0,00;2348,48
2026-04-29;APP do Filiado;1397,00;30,16;2669,90
2026-04-30;APP do Filiado;993,43;0,00;2387,48
