ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;DIGITAL B2B2C;201,68;0,00;433,65
2026-04-02;DIGITAL B2B2C;130,86;0,00;360,24
2026-04-03;DIGITAL B2B2C;110,02;0,00;346,07
2026-04-04;DIGITAL B2B2C;65,00;0,00;299,88
2026-04-05;DIGITAL B2B2C;65,00;0,00;225,20
2026-04-06;DIGITAL B2B2C;82,24;0,00;312,91
2026-04-07;DIGITAL B2B2C;149,74;0,00;390,61
2026-04-08;DIGITAL B2B2C;163,83;0,00;398,03
2026-04-09;DIGITAL B2B2C;113,07;0,00;340,35
2026-04-10;DIGITAL B2B2C;115,52;0,00;370,98
2026-04-11;DIGITAL B2B2C;78,12;0,00;302,52
2026-04-12;DIGITAL B2B2C;65,00;0,00;242,48
2026-04-13;DIGITAL B2B2C;139,38;0,00;369,82
2026-04-14;DIGITAL B2B2C;208,34;0,00;465,21
2026-04-15;DIGITAL B2B2C;214,34;0,00;444,41
2026-04-16;DIGITAL B2B2C;147,25;0,00;417,51
2026-04-17;DIGITAL B2B2C;127,85;0,00;385,16
2026-04-18;DIGITAL B2B2C;66,70;0,00;306,09
2026-04-19;DIGITAL B2B2C;65,00;0,00;208,55
2026-04-20;DIGITAL B2B2C;90,13;0,00;336,57
2026-04-21;DIGITAL B2B2C;151,27;0,00;387,84
2026-04-22;DIGITAL B2B2C;158,99;0,00;390,58
2026-04-23;DIGITAL B2B2C;102,85;0,00;342,96
2026-04-24;DIGITAL B2B2C;101,77;0,00;348,84
2026-04-25;DIGITAL B2B2C;65,00;0,00;295,34
2026-04-26;DIGITAL B2B2C;65,00;0,00;253,36
2026-04-27;DIGITAL B2B2C;129,37;0,00;370,29
2026-04-28;DIGITAL B2B2C;223,62;0,00;449,07
2026-04-29;DIGITAL B2B2C;80,02;0,00;323,60
2026-04-30;DIGITAL B2B2C;65,00;0,00;252,97
