ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;LINK DO VENDEDOR;593,20;13,54;1209,24
2026-04-02;LINK DO VENDEDOR;541,22;0,00;1189,68
2026-04-03;LINK DO VENDEDOR;122,00;0,00;214,91
2026-04-04;LINK DO VENDEDOR;95,00;0,00;671,02
2026-04-05;LINK DO VENDEDOR;122,00;0,00;455,15
2026-04-06;LINK DO VENDEDOR;717,01;120,32;1295,85
2026-04-07;LINK DO VENDEDOR;687,54;75,28;1277,20
2026-04-08;LINK DO VENDEDOR;719,39;105,04;1317,49
2026-04-09;LINK DO VENDEDOR;701,82;111,17;1352,05
2026-04-10;LINK DO VENDEDOR;652,03;70,68;1248,54
2026-04-11;LINK DO VENDEDOR;224,13;0,00;765,56
2026-04-12;LINK DO VENDEDOR;122,00;0,00;664,25
2026-04-13;LINK DO VENDEDOR;842,68;226,55;1429,19
2026-04-14;LINK DO VENDEDOR;770,65;207,70;1352,82
2026-04-15;LINK DO VENDEDOR;757,09;157,29;1360,45
2026-04-16;LINK DO VENDEDOR;697,82;91,10;1319,31
2026-04-17;LINK DO VENDEDOR;615,61;14,76;1207,05
2026-04-18;LINK DO VENDEDOR;168,31;0,00;810,56
2026-04-19;LINK DO VENDEDOR;122,00;0,00;575,48
2026-04-20;LINK DO VENDEDOR;790,01;183,19;1382,21
2026-04-21;LINK DO VENDEDOR;122,00;0,00;273,84
2026-04-22;LINK DO VENDEDOR;745,04;123,81;1339,88
2026-04-23;LINK DO VENDEDOR;707,49;143,54;1296,13
2026-04-24;LINK DO VENDEDOR;640,72;16,86;1271,62
2026-04-25;LINK DO VENDEDOR;198,59;0,00;777,25
2026-04-26;LINK DO VENDEDOR;122,00;0,00;588,04
2026-04-27;LINK DO VENDEDOR;794,52;196,11;1398,69
2026-04-28;LINK DO VENDEDOR;893,36;307,37;1509,91
2026-04-29;LINK DO VENDEDOR;978,09;361,36;1606,90
2026-04-30;LINK DO VENDEDOR;989,87;372,39;1620,36
