ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;MGM;90,40;62,08;117,30
2026-04-02;MGM;89,92;64,32;115,44
2026-04-03;MGM;64,31;38,40;93,17
2026-04-04;MGM;71,51;46,21;97,92
2026-04-05;MGM;71,35;43,53;98,39
2026-04-06;MGM;102,32;73,66;128,99
2026-04-07;MGM;99,51;70,97;125,14
2026-04-08;MGM;95,57;69,50;124,47
2026-04-09;MGM;95,09;69,65;122,17
2026-04-10;MGM;89,77;61,88;117,61
2026-04-11;MGM;76,68;49,38;103,94
2026-04-12;MGM;76,53;49,22;105,22
2026-04-13;MGM;107,50;79,99;133,63
2026-04-14;MGM;104,68;78,06;132,61
2026-04-15;MGM;100,75;73,79;126,24
2026-04-16;MGM;100,27;73,80;125,93
2026-04-17;MGM;94,95;68,33;122,61
2026-04-18;MGM;81,86;54,34;111,27
2026-04-19;MGM;81,70;52,04;109,81
2026-04-20;MGM;112,68;85,46;140,74
2026-04-21;MGM;74,33;46,26;101,45
2026-04-22;MGM;105,92;78,20;135,59
2026-04-23;MGM;105,45;78,18;131,88
2026-04-24;MGM;100,12;70,92;125,35
2026-04-25;MGM;87,04;58,72;113,42
2026-04-26;MGM;86,88;60,06;113,11
2026-04-27;MGM;117,85;93,98;146,83
2026-04-28;MGM;112,60;85,76;140,42
2026-04-29;MGM;118,12;91,38;146,12
2026-04-30;MGM;121,64;92,87;149,40
