ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;PORTA A PORTA;5544,71;2099,76;8921,13
2026-04-02;PORTA A PORTA;5232,33;2101,42;8584,58
2026-04-03;PORTA A PORTA;1026,00;0,00;2107,27
2026-04-04;PORTA A PORTA;914,00;0,00;4078,96
2026-04-05;PORTA A PORTA;1026,00;0,00;2525,13
2026-04-06;PORTA A PORTA;6269,99;2937,57;9782,10
2026-04-07;PORTA A PORTA;5718,67;2245,19;8998,68
2026-04-08;PORTA A PORTA;5965,65;2734,48;9131,70
2026-04-09;PORTA A PORTA;6003,25;2617,97;9418,27
2026-04-10;PORTA A PORTA;5873,77;2473,04;9232,04
2026-04-11;PORTA A PORTA;2005,53;0,00;5511,44
2026-04-12;PORTA A PORTA;1026,00;0,00;3831,51
2026-04-13;PORTA A PORTA;7372,97;3821,66;10914,21
2026-04-14;PORTA A PORTA;6596,24;3175,87;9804,48
2026-04-15;PORTA A PORTA;6544,70;3076,57;10026,86
2026-04-16;PORTA A PORTA;6259,22;3141,72;9812,67
2026-04-17;PORTA A PORTA;5832,64;2695,16;9222,51
2026-04-18;PORTA A PORTA;1737,52;0,00;5071,20
2026-04-19;PORTA A PORTA;1026,00;0,00;3246,64
2026-04-20;PORTA A PORTA;6966,46;3703,05;10281,15
2026-04-21;PORTA A PORTA;1026,00;0,00;2201,15
2026-04-22;PORTA A PORTA;6404,28;3054,42;9694,52
2026-04-23;PORTA A PORTA;6331,94;3013,08;9902,66
2026-04-24;PORTA A PORTA;6112,67;2646,29;9420,28
2026-04-25;PORTA A PORTA;2174,63;0,00;5668,42
2026-04-26;PORTA A PORTA;1026,00;0,00;4081,47
2026-04-27;PORTA A PORTA;7443,15;4166,99;10729,03
2026-04-28;PORTA A PORTA;7418,87;4194,23;10913,66
2026-04-29;PORTA A PORTA;8492,44;4996,11;11867,98
2026-04-30;PORTA A PORTA;9094,65;5766,36;12434,40
