ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;TELEVENDAS;286,63;141,40;416,56
2026-04-02;TELEVENDAS;276,43;131,74;414,80
2026-04-03;TELEVENDAS;59,00;0,00;94,99
2026-04-04;TELEVENDAS;48,00;0,00;188,89
2026-04-05;TELEVENDAS;59,00;0,00;124,64
2026-04-06;TELEVENDAS;366,93;227,28;521,32
2026-04-07;TELEVENDAS;322,05;172,34;464,57
2026-04-08;TELEVENDAS;311,13;158,52;452,07
2026-04-09;TELEVENDAS;304,67;156,28;452,65
2026-04-10;TELEVENDAS;256,61;115,62;394,06
2026-04-11;TELEVENDAS;75,08;0,00;219,88
2026-04-12;TELEVENDAS;59,00;0,00;158,18
2026-04-13;TELEVENDAS;392,51;247,25;526,19
2026-04-14;TELEVENDAS;343,01;192,99;483,80
2026-04-15;TELEVENDAS;326,65;180,37;469,19
2026-04-16;TELEVENDAS;314,48;176,16;458,12
2026-04-17;TELEVENDAS;260,98;126,41;397,19
2026-04-18;TELEVENDAS;74,68;0,00;223,21
2026-04-19;TELEVENDAS;59,00;0,00;145,94
2026-04-20;TELEVENDAS;385,59;245,99;523,56
2026-04-21;TELEVENDAS;59,00;0,00;77,79
2026-04-22;TELEVENDAS;317,17;181,81;451,14
2026-04-23;TELEVENDAS;304,69;161,72;450,90
2026-04-24;TELEVENDAS;251,15;108,79;393,71
2026-04-25;TELEVENDAS;64,82;0,00;205,71
2026-04-26;TELEVENDAS;59,00;0,00;130,15
2026-04-27;TELEVENDAS;375,23;236,07;520,06
2026-04-28;TELEVENDAS;327,41;184,47;463,85
2026-04-29;TELEVENDAS;324,56;183,56;465,64
2026-04-30;TELEVENDAS;312,53;169,31;453,19
