ds;tipo_venda;yhat;yhat_lower;yhat_upper
2026-04-01;Website;349,26;85,56;621,09
2026-04-02;Website;311,52;51,69;573,39
2026-04-03;Website;167,00;0,00;191,80
2026-04-04;Website;113,78;0,00;379,93
2026-04-05;Website;167,00;0,00;393,93
2026-04-06;Website;411,60;134,34;654,77
2026-04-07;Website;377,07;114,69;647,64
2026-04-08;Website;401,22;140,09;668,64
2026-04-09;Website;391,61;145,79;676,47
2026-04-10;Website;336,64;64,94;590,18
2026-04-11;Website;219,11;0,00;499,12
2026-04-12;Website;199,56;0,00;470,40
2026-04-13;Website;493,27;211,50;743,92
2026-04-14;Website;432,66;163,17;694,61
2026-04-15;Website;426,40;165,77;692,97
2026-04-16;Website;386,75;119,10;649,36
2026-04-17;Website;306,56;54,71;595,15
2026-04-18;Website;172,11;0,00;446,05
2026-04-19;Website;167,00;0,00;395,68
2026-04-20;Website;443,44;187,63;696,71
2026-04-21;Website;167,00;0,00;231,17
2026-04-22;Website;407,48;132,79;672,96
2026-04-23;Website;387,77;134,02;667,81
2026-04-24;Website;324,93;52,34;580,66
2026-04-25;Website;201,54;0,00;456,79
2026-04-26;Website;177,65;0,00;434,55
2026-04-27;Website;467,83;216,23;733,34
2026-04-28;Website;425,30;144,12;699,69
2026-04-29;Website;486,69;199,83;745,04
2026-04-30;Website;463,48;194,76;717,64
