"ds","y","spend_total","is_working_day","weekday_iso","month_num","day_of_month","week_of_month","eh_feriado","nome_feriado","valor_vendas","dupla","uno"
"2025-01-01",212,2929.85,0,3,1,1,1,1,Confraternização Universal,4078.8000,0,0
"2025-01-02",4687,3813.106486,1,4,1,2,1,0,,87614.0100,0,0
"2025-01-03",5830,4061.636651,1,5,1,3,1,0,,90900.4800,0,0
"2025-01-04",1952,3897.6565299999993,0,6,1,4,1,0,,31864.0100,0,0
"2025-01-05",397,4018.8827850000034,0,7,1,5,1,0,,7446.9000,0,0
"2025-01-06",8922,4376.402531,1,1,1,6,1,0,,130364.7700,0,0
"2025-01-07",8350,3950.538938999999,1,2,1,7,1,0,,135342.3400,0,0
"2025-01-08",8948,4161.490986000002,1,3,1,8,2,0,,132922.8600,0,0
"2025-01-09",8062,4081.7740180000037,1,4,1,9,2,0,,125477.5600,0,0
"2025-01-10",7137,4285.247307999996,1,5,1,10,2,0,,97687.1800,0,0
"2025-01-11",2317,4038.4752470000008,0,6,1,11,2,0,,32918.4200,0,0
"2025-01-12",473,4251.629489000003,0,7,1,12,2,0,,9084.6000,0,0
"2025-01-13",9297,4223.8486500000035,1,1,1,13,2,0,,129529.0400,0,0
"2025-01-14",7817,4232.874211999999,1,2,1,14,2,0,,112764.0733,0,0
"2025-01-15",8079,4057.0124280000005,1,3,1,15,3,0,,106296.8575,0,0
"2025-01-16",7381,4151.677459000006,1,4,1,16,3,0,,95231.0100,0,0
"2025-01-17",6520,4097.7373579999985,1,5,1,17,3,0,,80492.4300,0,0
"2025-01-18",1987,4152.544848000009,0,6,1,18,3,0,,26276.0200,0,0
"2025-01-19",390,4363.095249000007,0,7,1,19,3,0,,6334.5000,0,0
"2025-01-20",9094,4575.766189000009,1,1,1,20,3,0,,141435.4600,0,1
"2025-01-21",8011,4162.2459069999995,1,2,1,21,3,0,,127666.1600,0,1
"2025-01-22",8376,4199.919792000003,1,3,1,22,4,0,,129226.6800,0,1
"2025-01-23",7715,4168.712094999999,1,4,1,23,4,0,,115074.8500,0,1
"2025-01-24",7002,4628.079956000003,1,5,1,24,4,0,,75206.4100,0,0
"2025-01-25",2136,4632.061124000003,0,6,1,25,4,0,,25368.9000,0,0
"2025-01-26",389,4800.574260999995,0,7,1,26,4,0,,6210.9000,0,0
"2025-01-27",8710,5188.377365,1,1,1,27,4,0,,104403.4900,0,0
"2025-01-28",7782,4658.463575000008,1,2,1,28,4,0,,82963.7350,0,0
"2025-01-29",5510,4329.835455000006,1,3,1,29,5,0,,58895.6800,0,0
"2025-01-30",31033,4367.864221000008,1,4,1,30,5,0,,76.3600,1,0
"2025-01-31",23782,4474.416512000004,1,5,1,31,5,0,,61.8000,1,0
"2025-02-01",1443,4581.424463000004,0,6,2,1,1,0,,20818.0057,0,0
"2025-02-02",347,4526.712840000002,0,7,2,2,1,0,,5901.9000,0,0
"2025-02-03",6759,5085.275589000009,1,1,2,3,1,0,,106151.6900,0,0
"2025-02-04",6415,4704.201456000007,1,2,2,4,1,0,,96659.2700,0,0
"2025-02-05",6773,4462.470408000005,1,3,2,5,1,0,,96967.9700,0,0
"2025-02-06",7106,4577.327507000004,1,4,2,6,1,0,,99840.3000,0,0
"2025-02-07",7181,4365.951095,1,5,2,7,1,0,,91487.8100,0,0
"2025-02-08",2251,4773.529288000002,0,6,2,8,2,0,,30873.2800,0,0
"2025-02-09",462,4769.958991000003,0,7,2,9,2,0,,7817.7000,0,0
"2025-02-10",8953,4883.671002000007,1,1,2,10,2,0,,125583.3100,0,0
"2025-02-11",7777,4768.453091000002,1,2,2,11,2,0,,111167.9000,0,0
"2025-02-12",7759,4743.490252000004,1,3,2,12,2,0,,101944.7800,0,0
"2025-02-13",7268,4750.924792000001,1,4,2,13,2,0,,86734.1000,0,0
"2025-02-14",7379,4656.324156999998,1,5,2,14,2,0,,62216.2567,0,0
"2025-02-15",2877,4887.463152000005,0,6,2,15,3,0,,25204.2300,0,0
"2025-02-16",446,5011.461392000006,0,7,2,16,3,0,,6983.4000,0,0
"2025-02-17",9018,4921.256585000004,1,1,2,17,3,0,,111789.4900,0,0
"2025-02-18",7343,4832.805065000004,1,2,2,18,3,0,,95404.8700,0,0
"2025-02-19",7681,4702.877606000002,1,3,2,19,3,0,,95821.8600,0,0
"2025-02-20",7697,4659.439447000003,1,4,2,20,3,0,,87526.2643,0,0
"2025-02-21",6139,4615.439343000005,1,5,2,21,3,0,,65509.3400,0,0
"2025-02-22",1703,4819.606572000006,0,6,2,22,4,0,,21679.1000,0,0
"2025-02-23",369,4760.724528000007,0,7,2,23,4,0,,5747.4000,0,0
"2025-02-24",15777,4968.493122000002,1,1,2,24,4,0,,208149.5400,0,1
"2025-02-25",11838,4851.704436000001,1,2,2,25,4,0,,159434.7600,0,1
"2025-02-26",13219,4796.921931999999,1,3,2,26,4,0,,175152.0700,0,1
"2025-02-27",10243,4278.403640999999,1,4,2,27,4,0,,126885.2700,0,1
"2025-02-28",10708,4260.526759,1,5,2,28,4,0,,134527.7300,0,1
"2025-03-01",1118,3604.414675000003,0,6,3,1,1,0,,16596.8000,0,0
"2025-03-02",489,3816.9536430000053,0,7,3,2,1,0,,4542.3000,0,0
"2025-03-03",2051,3886.087775,1,1,3,3,1,0,,29668.1700,0,0
"2025-03-04",1051,3755.3159570000034,1,2,3,4,1,0,,11807.7000,0,0
