"data","eh_dia_util","eh_feriado","tipo_venda","qtd_vendas","valor_vendas","dupla","uno"
"2025-01-01",0,1,APP do Filiado,76,2008.5000,0,0
"2025-01-01",0,1,APP DO VENDEDOR,2,0.0000,0,0
"2025-01-01",0,1,LINK DO VENDEDOR,4,123.6000,0,0
"2025-01-01",0,1,MGM,7,0.0000,0,0
"2025-01-01",0,1,PORTA A PORTA,9,247.2000,0,0
"2025-01-01",0,1,TELEVENDAS,1,30.9000,0,0
"2025-01-01",0,1,TUTTI,54,0.0000,0,0
"2025-01-01",0,1,Website,59,1668.6000,0,0
"2025-01-02",1,0,APP do Filiado,242,6087.3000,0,0
"2025-01-02",1,0,APP DO VENDEDOR,346,6889.5000,0,0
"2025-01-02",1,0,LINK DO VENDEDOR,371,9702.6000,0,0
"2025-01-02",1,0,MGM,14,0.0000,0,0
"2025-01-02",1,0,PORTA A PORTA,2930,52790.9100,0,0
"2025-01-02",1,0,TELEVENDAS,215,5654.7000,0,0
"2025-01-02",1,0,TUTTI,349,0.0000,0,0
"2025-01-02",1,0,Website,220,6489.0000,0,0
"2025-01-03",1,0,APP do Filiado,232,6272.7000,0,0
"2025-01-03",1,0,APP DO VENDEDOR,455,6684.7000,0,0
"2025-01-03",1,0,LINK DO VENDEDOR,376,9022.8000,0,0
"2025-01-03",1,0,MGM,11,0.0000,0,0
"2025-01-03",1,0,PORTA A PORTA,3926,57116.4800,0,0
"2025-01-03",1,0,TELEVENDAS,230,5963.7000,0,0
"2025-01-03",1,0,TUTTI,390,0.0000,0,0
"2025-01-03",1,0,Website,210,5840.1000,0,0
"2025-01-04",0,0,APP do Filiado,149,3831.6000,0,0
"2025-01-04",0,0,APP DO VENDEDOR,165,3213.6000,0,0
"2025-01-04",0,0,LINK DO VENDEDOR,121,3059.1000,0,0
"2025-01-04",0,0,MGM,3,0.0000,0,0
"2025-01-04",0,0,PORTA A PORTA,1052,16414.0100,0,0
"2025-01-04",0,0,TELEVENDAS,59,1575.9000,0,0
"2025-01-04",0,0,TUTTI,273,0.0000,0,0
"2025-01-04",0,0,Website,130,3769.8000,0,0
"2025-01-05",0,0,APP do Filiado,124,3028.2000,0,0
"2025-01-05",0,0,APP DO VENDEDOR,5,92.7000,0,0
"2025-01-05",0,0,LINK DO VENDEDOR,22,370.8000,0,0
"2025-01-05",0,0,MGM,4,0.0000,0,0
"2025-01-05",0,0,PORTA A PORTA,26,339.9000,0,0
"2025-01-05",0,0,TELEVENDAS,4,123.6000,0,0
"2025-01-05",0,0,TUTTI,95,0.0000,0,0
"2025-01-05",0,0,Website,117,3491.7000,0,0
"2025-01-06",1,0,APP do Filiado,317,7910.4000,0,0
"2025-01-06",1,0,APP DO VENDEDOR,731,11440.3100,0,0
"2025-01-06",1,0,LINK DO VENDEDOR,756,16562.4000,0,0
"2025-01-06",1,0,MGM,15,0.0000,0,0
"2025-01-06",1,0,PORTA A PORTA,6018,76375.1600,0,0
"2025-01-06",1,0,TELEVENDAS,307,8034.0000,0,0
"2025-01-06",1,0,TUTTI,427,0.0000,0,0
"2025-01-06",1,0,Website,351,10042.5000,0,0
"2025-01-07",1,0,APP do Filiado,330,8373.9000,0,0
"2025-01-07",1,0,APP DO VENDEDOR,744,12314.4700,0,0
